3755 GB2312-80 level-1 Chinese characters
Character	GB code	Unicode
¸è	0xe8b8	0x6b4c
¸é	0xe9b8	0x6401
¸ê	0xeab8	0x6208
¸ë	0xebb8	0x9e3d
¸ì	0xecb8	0x80f3
¸í	0xedb8	0x7599
¸î	0xeeb8	0x5272
¸ï	0xefb8	0x9769
¸ð	0xf0b8	0x845b
¸ñ	0xf1b8	0x683c
¸ò	0xf2b8	0x86e4
¸ó	0xf3b8	0x9601
¸ô	0xf4b8	0x9694
¸õ	0xf5b8	0x94ec
¸ö	0xf6b8	0x4e2a
¸÷	0xf7b8	0x5404
¸ø	0xf8b8	0x7ed9
¸ù	0xf9b8	0x6839
¸ú	0xfab8	0x8ddf
¸û	0xfbb8	0x8015
¸ü	0xfcb8	0x66f4
¸ý	0xfdb8	0x5e9a
¸þ	0xfeb8	0x7fb9
¹¡	0xa1b9	0x57c2
¹¢	0xa2b9	0x803f
¹£	0xa3b9	0x6897
¹¤	0xa4b9	0x5de5
¹¥	0xa5b9	0x653b
¹¦	0xa6b9	0x529f
¹§	0xa7b9	0x606d
¹¨	0xa8b9	0x9f9a
¹©	0xa9b9	0x4f9b
¹ª	0xaab9	0x8eac
¹«	0xabb9	0x516c
¹¬	0xacb9	0x5bab
¹­	0xadb9	0x5f13
¹®	0xaeb9	0x5de9
¹¯	0xafb9	0x6c5e
¹°	0xb0b9	0x62f1
¹±	0xb1b9	0x8d21
¹²	0xb2b9	0x5171
¹³	0xb3b9	0x94a9
¹´	0xb4b9	0x52fe
¹µ	0xb5b9	0x6c9f
¹¶	0xb6b9	0x82df
¹·	0xb7b9	0x72d7
¹¸	0xb8b9	0x57a2
¹¹	0xb9b9	0x6784
¹º	0xbab9	0x8d2d
¹»	0xbbb9	0x591f
¹¼	0xbcb9	0x8f9c
¹½	0xbdb9	0x83c7
¹¾	0xbeb9	0x5495
¹¿	0xbfb9	0x7b8d
¹À	0xc0b9	0x4f30
¹Á	0xc1b9	0x6cbd
¹Â	0xc2b9	0x5b64
¹Ã	0xc3b9	0x59d1
¹Ä	0xc4b9	0x9f13
¹Å	0xc5b9	0x53e4
¹Æ	0xc6b9	0x86ca
¹Ç	0xc7b9	0x9aa8
¹È	0xc8b9	0x8c37
¹É	0xc9b9	0x80a1
¹Ê	0xcab9	0x6545
¹Ë	0xcbb9	0x987e
¹Ì	0xccb9	0x56fa
¹Í	0xcdb9	0x96c7
¹Î	0xceb9	0x522e
¹Ï	0xcfb9	0x74dc
¹Ð	0xd0b9	0x5250
¹Ñ	0xd1b9	0x5be1
¹Ò	0xd2b9	0x6302
¹Ó	0xd3b9	0x8902
¹Ô	0xd4b9	0x4e56
¹Õ	0xd5b9	0x62d0
¹Ö	0xd6b9	0x602a
¹×	0xd7b9	0x68fa
¹Ø	0xd8b9	0x5173
¹Ù	0xd9b9	0x5b98
¹Ú	0xdab9	0x51a0
¹Û	0xdbb9	0x89c2
¹Ü	0xdcb9	0x7ba1
¹Ý	0xddb9	0x9986
¹Þ	0xdeb9	0x7f50
¹ß	0xdfb9	0x60ef
¹à	0xe0b9	0x704c
¹á	0xe1b9	0x8d2f
¹â	0xe2b9	0x5149
¹ã	0xe3b9	0x5e7f
¹ä	0xe4b9	0x901b
¹å	0xe5b9	0x7470
¹æ	0xe6b9	0x89c4
¹ç	0xe7b9	0x572d
¹è	0xe8b9	0x7845
¹é	0xe9b9	0x5f52
¹ê	0xeab9	0x9f9f
¹ë	0xebb9	0x95fa
¹ì	0xecb9	0x8f68
¹í	0xedb9	0x9b3c
¹î	0xeeb9	0x8be1
¹ï	0xefb9	0x7678
¹ð	0xf0b9	0x6842
¹ñ	0xf1b9	0x67dc
¹ò	0xf2b9	0x8dea
¹ó	0xf3b9	0x8d35
¹ô	0xf4b9	0x523d
¹õ	0xf5b9	0x8f8a
¹ö	0xf6b9	0x6eda
¹÷	0xf7b9	0x68cd
¹ø	0xf8b9	0x9505
¹ù	0xf9b9	0x90ed
¹ú	0xfab9	0x56fd
¹û	0xfbb9	0x679c
¹ü	0xfcb9	0x88f9
¹ý	0xfdb9	0x8fc7
¹þ	0xfeb9	0x54c8
º¡	0xa1ba	0x9ab8
º¢	0xa2ba	0x5b69
º£	0xa3ba	0x6d77
º¤	0xa4ba	0x6c26
º¥	0xa5ba	0x4ea5
º¦	0xa6ba	0x5bb3
º§	0xa7ba	0x9a87
º¨	0xa8ba	0x9163
º©	0xa9ba	0x61a8
ºª	0xaaba	0x90af
º«	0xabba	0x97e9
º¬	0xacba	0x542b
º­	0xadba	0x6db5
º®	0xaeba	0x5bd2
º¯	0xafba	0x51fd
º°	0xb0ba	0x558a
º±	0xb1ba	0x7f55
º²	0xb2ba	0x7ff0
º³	0xb3ba	0x64bc
º´	0xb4ba	0x634d
ºµ	0xb5ba	0x65f1
º¶	0xb6ba	0x61be
º·	0xb7ba	0x608d
º¸	0xb8ba	0x710a
º¹	0xb9ba	0x6c57
ºº	0xbaba	0x6c49
º»	0xbbba	0x592f
º¼	0xbcba	0x676d
º½	0xbdba	0x822a
º¾	0xbeba	0x58d5
º¿	0xbfba	0x568e
ºÀ	0xc0ba	0x8c6a
ºÁ	0xc1ba	0x6beb
ºÂ	0xc2ba	0x90dd
ºÃ	0xc3ba	0x597d
ºÄ	0xc4ba	0x8017
ºÅ	0xc5ba	0x53f7
ºÆ	0xc6ba	0x6d69
ºÇ	0xc7ba	0x5475
ºÈ	0xc8ba	0x559d
ºÉ	0xc9ba	0x8377
ºÊ	0xcaba	0x83cf
ºË	0xcbba	0x6838
ºÌ	0xccba	0x79be
ºÍ	0xcdba	0x548c
ºÎ	0xceba	0x4f55
ºÏ	0xcfba	0x5408
ºÐ	0xd0ba	0x76d2
ºÑ	0xd1ba	0x8c89
ºÒ	0xd2ba	0x9602
ºÓ	0xd3ba	0x6cb3
ºÔ	0xd4ba	0x6db8
ºÕ	0xd5ba	0x8d6b
ºÖ	0xd6ba	0x8910
º×	0xd7ba	0x9e64
ºØ	0xd8ba	0x8d3a
ºÙ	0xd9ba	0x563f
ºÚ	0xdaba	0x9ed1
ºÛ	0xdbba	0x75d5
ºÜ	0xdcba	0x5f88
ºÝ	0xddba	0x72e0
ºÞ	0xdeba	0x6068
ºß	0xdfba	0x54fc
ºà	0xe0ba	0x4ea8
ºá	0xe1ba	0x6a2a
ºâ	0xe2ba	0x8861
ºã	0xe3ba	0x6052
ºä	0xe4ba	0x8f70
ºå	0xe5ba	0x54c4
ºæ	0xe6ba	0x70d8
ºç	0xe7ba	0x8679
ºè	0xe8ba	0x9e3f
ºé	0xe9ba	0x6d2a
ºê	0xeaba	0x5b8f
ºë	0xebba	0x5f18
ºì	0xecba	0x7ea2
ºí	0xedba	0x5589
ºî	0xeeba	0x4faf
ºï	0xefba	0x7334
ºð	0xf0ba	0x543c
ºñ	0xf1ba	0x539a
ºò	0xf2ba	0x5019
ºó	0xf3ba	0x540e
ºô	0xf4ba	0x547c
ºõ	0xf5ba	0x4e4e
ºö	0xf6ba	0x5ffd
º÷	0xf7ba	0x745a
ºø	0xf8ba	0x58f6
ºù	0xf9ba	0x846b
ºú	0xfaba	0x80e1
ºû	0xfbba	0x8774
ºü	0xfcba	0x72d0
ºý	0xfdba	0x7cca
ºþ	0xfeba	0x6e56
»¡	0xa1bb	0x5f27
»¢	0xa2bb	0x864e
»£	0xa3bb	0x552c
»¤	0xa4bb	0x62a4
»¥	0xa5bb	0x4e92
»¦	0xa6bb	0x6caa
»§	0xa7bb	0x6237
»¨	0xa8bb	0x82b1
»©	0xa9bb	0x54d7
»ª	0xaabb	0x534e
»«	0xabbb	0x733e
»¬	0xacbb	0x6ed1
»­	0xadbb	0x753b
»®	0xaebb	0x5212
»¯	0xafbb	0x5316
»°	0xb0bb	0x8bdd
»±	0xb1bb	0x69d0
»²	0xb2bb	0x5f8a
»³	0xb3bb	0x6000
»´	0xb4bb	0x6dee
»µ	0xb5bb	0x574f
»¶	0xb6bb	0x6b22
»·	0xb7bb	0x73af
»¸	0xb8bb	0x6853
»¹	0xb9bb	0x8fd8
»º	0xbabb	0x7f13
»»	0xbbbb	0x6362
»¼	0xbcbb	0x60a3
»½	0xbdbb	0x5524
»¾	0xbebb	0x75ea
»¿	0xbfbb	0x8c62
»À	0xc0bb	0x7115
»Á	0xc1bb	0x6da3
»Â	0xc2bb	0x5ba6
»Ã	0xc3bb	0x5e7b
»Ä	0xc4bb	0x8352
»Å	0xc5bb	0x614c
»Æ	0xc6bb	0x9ec4
»Ç	0xc7bb	0x78fa
»È	0xc8bb	0x8757
»É	0xc9bb	0x7c27
»Ê	0xcabb	0x7687
»Ë	0xcbbb	0x51f0
»Ì	0xccbb	0x60f6
»Í	0xcdbb	0x714c
»Î	0xcebb	0x6643
»Ï	0xcfbb	0x5e4c
»Ð	0xd0bb	0x604d
»Ñ	0xd1bb	0x8c0e
»Ò	0xd2bb	0x7070
»Ó	0xd3bb	0x6325
»Ô	0xd4bb	0x8f89
»Õ	0xd5bb	0x5fbd
»Ö	0xd6bb	0x6062
»×	0xd7bb	0x86d4
»Ø	0xd8bb	0x56de
»Ù	0xd9bb	0x6bc1
»Ú	0xdabb	0x6094
»Û	0xdbbb	0x6167
»Ü	0xdcbb	0x5349
»Ý	0xddbb	0x60e0
»Þ	0xdebb	0x6666
»ß	0xdfbb	0x8d3f
»à	0xe0bb	0x79fd
»á	0xe1bb	0x4f1a
»â	0xe2bb	0x70e9
»ã	0xe3bb	0x6c47
»ä	0xe4bb	0x8bb3
»å	0xe5bb	0x8bf2
»æ	0xe6bb	0x7ed8
»ç	0xe7bb	0x8364
»è	0xe8bb	0x660f
»é	0xe9bb	0x5a5a
»ê	0xeabb	0x9b42
»ë	0xebbb	0x6d51
»ì	0xecbb	0x6df7
»í	0xedbb	0x8c41
»î	0xeebb	0x6d3b
»ï	0xefbb	0x4f19
»ð	0xf0bb	0x706b
»ñ	0xf1bb	0x83b7
»ò	0xf2bb	0x6216
»ó	0xf3bb	0x60d1
»ô	0xf4bb	0x970d
»õ	0xf5bb	0x8d27
»ö	0xf6bb	0x7978
»÷	0xf7bb	0x51fb
»ø	0xf8bb	0x573e
»ù	0xf9bb	0x57fa
»ú	0xfabb	0x673a
»û	0xfbbb	0x7578
»ü	0xfcbb	0x7a3d
»ý	0xfdbb	0x79ef
»þ	0xfebb	0x7b95
¼¡	0xa1bc	0x808c
¼¢	0xa2bc	0x9965
¼£	0xa3bc	0x8ff9
¼¤	0xa4bc	0x6fc0
¼¥	0xa5bc	0x8ba5
¼¦	0xa6bc	0x9e21
¼§	0xa7bc	0x59ec
¼¨	0xa8bc	0x7ee9
¼©	0xa9bc	0x7f09
¼ª	0xaabc	0x5409
¼«	0xabbc	0x6781
¼¬	0xacbc	0x68d8
¼­	0xadbc	0x8f91
¼®	0xaebc	0x7c4d
¼¯	0xafbc	0x96c6
¼°	0xb0bc	0x53ca
¼±	0xb1bc	0x6025
¼²	0xb2bc	0x75be
¼³	0xb3bc	0x6c72
¼´	0xb4bc	0x5373
¼µ	0xb5bc	0x5ac9
¼¶	0xb6bc	0x7ea7
¼·	0xb7bc	0x6324
¼¸	0xb8bc	0x51e0
¼¹	0xb9bc	0x810a
¼º	0xbabc	0x5df1
¼»	0xbbbc	0x84df
¼¼	0xbcbc	0x6280
¼½	0xbdbc	0x5180
¼¾	0xbebc	0x5b63
¼¿	0xbfbc	0x4f0e
¼À	0xc0bc	0x796d
¼Á	0xc1bc	0x5242
¼Â	0xc2bc	0x60b8
¼Ã	0xc3bc	0x6d4e
¼Ä	0xc4bc	0x5bc4
¼Å	0xc5bc	0x5bc2
¼Æ	0xc6bc	0x8ba1
¼Ç	0xc7bc	0x8bb0
¼È	0xc8bc	0x65e2
¼É	0xc9bc	0x5fcc
¼Ê	0xcabc	0x9645
¼Ë	0xcbbc	0x5993
¼Ì	0xccbc	0x7ee7
¼Í	0xcdbc	0x7eaa
¼Î	0xcebc	0x5609
¼Ï	0xcfbc	0x67b7
¼Ð	0xd0bc	0x5939
¼Ñ	0xd1bc	0x4f73
¼Ò	0xd2bc	0x5bb6
¼Ó	0xd3bc	0x52a0
¼Ô	0xd4bc	0x835a
¼Õ	0xd5bc	0x988a
¼Ö	0xd6bc	0x8d3e
¼×	0xd7bc	0x7532
¼Ø	0xd8bc	0x94be
¼Ù	0xd9bc	0x5047
¼Ú	0xdabc	0x7a3c
¼Û	0xdbbc	0x4ef7
¼Ü	0xdcbc	0x67b6
¼Ý	0xddbc	0x9a7e
¼Þ	0xdebc	0x5ac1
¼ß	0xdfbc	0x6b7c
¼à	0xe0bc	0x76d1
¼á	0xe1bc	0x575a
¼â	0xe2bc	0x5c16
¼ã	0xe3bc	0x7b3a
¼ä	0xe4bc	0x95f4
¼å	0xe5bc	0x714e
¼æ	0xe6bc	0x517c
¼ç	0xe7bc	0x80a9
¼è	0xe8bc	0x8270
¼é	0xe9bc	0x5978
¼ê	0xeabc	0x7f04
¼ë	0xebbc	0x8327
¼ì	0xecbc	0x68c0
¼í	0xedbc	0x67ec
¼î	0xeebc	0x78b1
¼ï	0xefbc	0x7877
¼ð	0xf0bc	0x62e3
¼ñ	0xf1bc	0x6361
¼ò	0xf2bc	0x7b80
¼ó	0xf3bc	0x4fed
¼ô	0xf4bc	0x526a
¼õ	0xf5bc	0x51cf
¼ö	0xf6bc	0x8350
¼÷	0xf7bc	0x69db
¼ø	0xf8bc	0x9274
¼ù	0xf9bc	0x8df5
¼ú	0xfabc	0x8d31
¼û	0xfbbc	0x89c1
¼ü	0xfcbc	0x952e
¼ý	0xfdbc	0x7bad
¼þ	0xfebc	0x4ef6
½¡	0xa1bd	0x5065
½¢	0xa2bd	0x8230
½£	0xa3bd	0x5251
½¤	0xa4bd	0x996f
½¥	0xa5bd	0x6e10
½¦	0xa6bd	0x6e85
½§	0xa7bd	0x6da7
½¨	0xa8bd	0x5efa
½©	0xa9bd	0x50f5
½ª	0xaabd	0x59dc
½«	0xabbd	0x5c06
½¬	0xacbd	0x6d46
½­	0xadbd	0x6c5f
½®	0xaebd	0x7586
½¯	0xafbd	0x848b
½°	0xb0bd	0x6868
½±	0xb1bd	0x5956
½²	0xb2bd	0x8bb2
½³	0xb3bd	0x5320
½´	0xb4bd	0x9171
½µ	0xb5bd	0x964d
½¶	0xb6bd	0x8549
½·	0xb7bd	0x6912
½¸	0xb8bd	0x7901
½¹	0xb9bd	0x7126
½º	0xbabd	0x80f6
½»	0xbbbd	0x4ea4
½¼	0xbcbd	0x90ca
½½	0xbdbd	0x6d47
½¾	0xbebd	0x9a84
½¿	0xbfbd	0x5a07
½À	0xc0bd	0x56bc
½Á	0xc1bd	0x6405
½Â	0xc2bd	0x94f0
½Ã	0xc3bd	0x77eb
½Ä	0xc4bd	0x4fa5
½Å	0xc5bd	0x811a
½Æ	0xc6bd	0x72e1
½Ç	0xc7bd	0x89d2
½È	0xc8bd	0x997a
½É	0xc9bd	0x7f34
½Ê	0xcabd	0x7ede
½Ë	0xcbbd	0x527f
½Ì	0xccbd	0x6559
½Í	0xcdbd	0x9175
½Î	0xcebd	0x8f7f
½Ï	0xcfbd	0x8f83
½Ð	0xd0bd	0x53eb
½Ñ	0xd1bd	0x7a96
½Ò	0xd2bd	0x63ed
½Ó	0xd3bd	0x63a5
½Ô	0xd4bd	0x7686
½Õ	0xd5bd	0x79f8
½Ö	0xd6bd	0x8857
½×	0xd7bd	0x9636
½Ø	0xd8bd	0x622a
½Ù	0xd9bd	0x52ab
½Ú	0xdabd	0x8282
½Û	0xdbbd	0x6854
½Ü	0xdcbd	0x6770
½Ý	0xddbd	0x6377
½Þ	0xdebd	0x776b
½ß	0xdfbd	0x7aed
½à	0xe0bd	0x6d01
½á	0xe1bd	0x7ed3
½â	0xe2bd	0x89e3
½ã	0xe3bd	0x59d0
½ä	0xe4bd	0x6212
½å	0xe5bd	0x85c9
½æ	0xe6bd	0x82a5
½ç	0xe7bd	0x754c
½è	0xe8bd	0x501f
½é	0xe9bd	0x4ecb
½ê	0xeabd	0x75a5
½ë	0xebbd	0x8beb
½ì	0xecbd	0x5c4a
½í	0xedbd	0x5dfe
½î	0xeebd	0x7b4b
½ï	0xefbd	0x65a4
½ð	0xf0bd	0x91d1
½ñ	0xf1bd	0x4eca
½ò	0xf2bd	0x6d25
½ó	0xf3bd	0x895f
½ô	0xf4bd	0x7d27
½õ	0xf5bd	0x9526
½ö	0xf6bd	0x4ec5
½÷	0xf7bd	0x8c28
½ø	0xf8bd	0x8fdb
½ù	0xf9bd	0x9773
½ú	0xfabd	0x664b
½û	0xfbbd	0x7981
½ü	0xfcbd	0x8fd1
½ý	0xfdbd	0x70ec
½þ	0xfebd	0x6d78
¾¡	0xa1be	0x5c3d
¾¢	0xa2be	0x52b2
¾£	0xa3be	0x8346
¾¤	0xa4be	0x5162
¾¥	0xa5be	0x830e
¾¦	0xa6be	0x775b
¾§	0xa7be	0x6676
¾¨	0xa8be	0x9cb8
¾©	0xa9be	0x4eac
¾ª	0xaabe	0x60ca
¾«	0xabbe	0x7cbe
¾¬	0xacbe	0x7cb3
¾­	0xadbe	0x7ecf
¾®	0xaebe	0x4e95
¾¯	0xafbe	0x8b66
¾°	0xb0be	0x666f
¾±	0xb1be	0x9888
¾²	0xb2be	0x9759
¾³	0xb3be	0x5883
¾´	0xb4be	0x656c
¾µ	0xb5be	0x955c
¾¶	0xb6be	0x5f84
¾·	0xb7be	0x75c9
¾¸	0xb8be	0x9756
¾¹	0xb9be	0x7adf
¾º	0xbabe	0x7ade
¾»	0xbbbe	0x51c0
¾¼	0xbcbe	0x70af
¾½	0xbdbe	0x7a98
¾¾	0xbebe	0x63ea
¾¿	0xbfbe	0x7a76
¾À	0xc0be	0x7ea0
¾Á	0xc1be	0x7396
¾Â	0xc2be	0x97ed
¾Ã	0xc3be	0x4e45
¾Ä	0xc4be	0x7078
¾Å	0xc5be	0x4e5d
¾Æ	0xc6be	0x9152
¾Ç	0xc7be	0x53a9
¾È	0xc8be	0x6551
¾É	0xc9be	0x65e7
¾Ê	0xcabe	0x81fc
¾Ë	0xcbbe	0x8205
¾Ì	0xccbe	0x548e
¾Í	0xcdbe	0x5c31
¾Î	0xcebe	0x759a
¾Ï	0xcfbe	0x97a0
¾Ð	0xd0be	0x62d8
¾Ñ	0xd1be	0x72d9
¾Ò	0xd2be	0x75bd
¾Ó	0xd3be	0x5c45
¾Ô	0xd4be	0x9a79
¾Õ	0xd5be	0x83ca
¾Ö	0xd6be	0x5c40
¾×	0xd7be	0x5480
¾Ø	0xd8be	0x77e9
¾Ù	0xd9be	0x4e3e
¾Ú	0xdabe	0x6cae
¾Û	0xdbbe	0x805a
¾Ü	0xdcbe	0x62d2
¾Ý	0xddbe	0x636e
¾Þ	0xdebe	0x5de8
¾ß	0xdfbe	0x5177
¾à	0xe0be	0x8ddd
¾á	0xe1be	0x8e1e
¾â	0xe2be	0x952f
¾ã	0xe3be	0x4ff1
¾ä	0xe4be	0x53e5
¾å	0xe5be	0x60e7
¾æ	0xe6be	0x70ac
¾ç	0xe7be	0x5267
¾è	0xe8be	0x6350
¾é	0xe9be	0x9e43
¾ê	0xeabe	0x5a1f
¾ë	0xebbe	0x5026
¾ì	0xecbe	0x7737
¾í	0xedbe	0x5377
¾î	0xeebe	0x7ee2
¾ï	0xefbe	0x6485
¾ð	0xf0be	0x652b
¾ñ	0xf1be	0x6289
¾ò	0xf2be	0x6398
¾ó	0xf3be	0x5014
¾ô	0xf4be	0x7235
¾õ	0xf5be	0x89c9
¾ö	0xf6be	0x51b3
¾÷	0xf7be	0x8bc0
¾ø	0xf8be	0x7edd
¾ù	0xf9be	0x5747
¾ú	0xfabe	0x83cc
¾û	0xfbbe	0x94a7
¾ü	0xfcbe	0x519b
¾ý	0xfdbe	0x541b
¾þ	0xfebe	0x5cfb
¿¡	0xa1bf	0x4fca
¿¢	0xa2bf	0x7ae3
¿£	0xa3bf	0x6d5a
¿¤	0xa4bf	0x90e1
¿¥	0xa5bf	0x9a8f
¿¦	0xa6bf	0x5580
¿§	0xa7bf	0x5496
¿¨	0xa8bf	0x5361
¿©	0xa9bf	0x54af
¿ª	0xaabf	0x5f00
¿«	0xabbf	0x63e9
¿¬	0xacbf	0x6977
¿­	0xadbf	0x51ef
¿®	0xaebf	0x6168
¿¯	0xafbf	0x520a
¿°	0xb0bf	0x582a
¿±	0xb1bf	0x52d8
¿²	0xb2bf	0x574e
¿³	0xb3bf	0x780d
¿´	0xb4bf	0x770b
¿µ	0xb5bf	0x5eb7
¿¶	0xb6bf	0x6177
¿·	0xb7bf	0x7ce0
¿¸	0xb8bf	0x625b
¿¹	0xb9bf	0x6297
¿º	0xbabf	0x4ea2
¿»	0xbbbf	0x7095
¿¼	0xbcbf	0x8003
¿½	0xbdbf	0x62f7
¿¾	0xbebf	0x70e4
¿¿	0xbfbf	0x9760
¿À	0xc0bf	0x5777
¿Á	0xc1bf	0x82db
¿Â	0xc2bf	0x67ef
¿Ã	0xc3bf	0x68f5
¿Ä	0xc4bf	0x78d5
¿Å	0xc5bf	0x9897
¿Æ	0xc6bf	0x79d1
¿Ç	0xc7bf	0x58f3
¿È	0xc8bf	0x54b3
¿É	0xc9bf	0x53ef
¿Ê	0xcabf	0x6e34
¿Ë	0xcbbf	0x514b
¿Ì	0xccbf	0x523b
¿Í	0xcdbf	0x5ba2
¿Î	0xcebf	0x8bfe
¿Ï	0xcfbf	0x80af
¿Ð	0xd0bf	0x5543
¿Ñ	0xd1bf	0x57a6
¿Ò	0xd2bf	0x6073
¿Ó	0xd3bf	0x5751
¿Ô	0xd4bf	0x542d
¿Õ	0xd5bf	0x7a7a
¿Ö	0xd6bf	0x6050
¿×	0xd7bf	0x5b54
¿Ø	0xd8bf	0x63a7
¿Ù	0xd9bf	0x62a0
¿Ú	0xdabf	0x53e3
¿Û	0xdbbf	0x6263
¿Ü	0xdcbf	0x5bc7
¿Ý	0xddbf	0x67af
¿Þ	0xdebf	0x54ed
¿ß	0xdfbf	0x7a9f
¿à	0xe0bf	0x82e6
¿á	0xe1bf	0x9177
¿â	0xe2bf	0x5e93
¿ã	0xe3bf	0x88e4
¿ä	0xe4bf	0x5938
¿å	0xe5bf	0x57ae
¿æ	0xe6bf	0x630e
¿ç	0xe7bf	0x8de8
¿è	0xe8bf	0x80ef
¿é	0xe9bf	0x5757
¿ê	0xeabf	0x7b77
¿ë	0xebbf	0x4fa9
¿ì	0xecbf	0x5feb
¿í	0xedbf	0x5bbd
¿î	0xeebf	0x6b3e
¿ï	0xefbf	0x5321
¿ð	0xf0bf	0x7b50
¿ñ	0xf1bf	0x72c2
¿ò	0xf2bf	0x6846
¿ó	0xf3bf	0x77ff
¿ô	0xf4bf	0x7736
¿õ	0xf5bf	0x65f7
¿ö	0xf6bf	0x51b5
¿÷	0xf7bf	0x4e8f
¿ø	0xf8bf	0x76d4
¿ù	0xf9bf	0x5cbf
¿ú	0xfabf	0x7aa5
¿û	0xfbbf	0x8475
¿ü	0xfcbf	0x594e
¿ý	0xfdbf	0x9b41
¿þ	0xfebf	0x5080
À¡	0xa1c0	0x9988
À¢	0xa2c0	0x6127
À£	0xa3c0	0x6e83
À¤	0xa4c0	0x5764
À¥	0xa5c0	0x6606
À¦	0xa6c0	0x6346
À§	0xa7c0	0x56f0
À¨	0xa8c0	0x62ec
À©	0xa9c0	0x6269
Àª	0xaac0	0x5ed3
À«	0xabc0	0x9614
À¬	0xacc0	0x5783
À­	0xadc0	0x62c9
À®	0xaec0	0x5587
À¯	0xafc0	0x8721
À°	0xb0c0	0x814a
À±	0xb1c0	0x8fa3
À²	0xb2c0	0x5566
À³	0xb3c0	0x83b1
À´	0xb4c0	0x6765
Àµ	0xb5c0	0x8d56
À¶	0xb6c0	0x84dd
À·	0xb7c0	0x5a6a
À¸	0xb8c0	0x680f
À¹	0xb9c0	0x62e6
Àº	0xbac0	0x7bee
À»	0xbbc0	0x9611
À¼	0xbcc0	0x5170
À½	0xbdc0	0x6f9c
À¾	0xbec0	0x8c30
À¿	0xbfc0	0x63fd
ÀÀ	0xc0c0	0x89c8
ÀÁ	0xc1c0	0x61d2
ÀÂ	0xc2c0	0x7f06
ÀÃ	0xc3c0	0x70c2
ÀÄ	0xc4c0	0x6ee5
ÀÅ	0xc5c0	0x7405
ÀÆ	0xc6c0	0x6994
ÀÇ	0xc7c0	0x72fc
ÀÈ	0xc8c0	0x5eca
ÀÉ	0xc9c0	0x90ce
ÀÊ	0xcac0	0x6717
ÀË	0xcbc0	0x6d6a
ÀÌ	0xccc0	0x635e
ÀÍ	0xcdc0	0x52b3
ÀÎ	0xcec0	0x7262
ÀÏ	0xcfc0	0x8001
ÀÐ	0xd0c0	0x4f6c
ÀÑ	0xd1c0	0x59e5
ÀÒ	0xd2c0	0x916a
ÀÓ	0xd3c0	0x70d9
ÀÔ	0xd4c0	0x6d9d
ÀÕ	0xd5c0	0x52d2
ÀÖ	0xd6c0	0x4e50
À×	0xd7c0	0x96f7
ÀØ	0xd8c0	0x956d
ÀÙ	0xd9c0	0x857e
ÀÚ	0xdac0	0x78ca
ÀÛ	0xdbc0	0x7d2f
ÀÜ	0xdcc0	0x5121
ÀÝ	0xddc0	0x5792
ÀÞ	0xdec0	0x64c2
Àß	0xdfc0	0x808b
Àà	0xe0c0	0x7c7b
Àá	0xe1c0	0x6cea
Àâ	0xe2c0	0x68f1
Àã	0xe3c0	0x695e
Àä	0xe4c0	0x51b7
Àå	0xe5c0	0x5398
Àæ	0xe6c0	0x68a8
Àç	0xe7c0	0x7281
Àè	0xe8c0	0x9ece
Àé	0xe9c0	0x7bf1
Àê	0xeac0	0x72f8
Àë	0xebc0	0x79bb
Àì	0xecc0	0x6f13
Àí	0xedc0	0x7406
Àî	0xeec0	0x674e
Àï	0xefc0	0x91cc
Àð	0xf0c0	0x9ca4
Àñ	0xf1c0	0x793c
Àò	0xf2c0	0x8389
Àó	0xf3c0	0x8354
Àô	0xf4c0	0x540f
Àõ	0xf5c0	0x6817
Àö	0xf6c0	0x4e3d
À÷	0xf7c0	0x5389
Àø	0xf8c0	0x52b1
Àù	0xf9c0	0x783e
Àú	0xfac0	0x5386
Àû	0xfbc0	0x5229
Àü	0xfcc0	0x5088
Àý	0xfdc0	0x4f8b
Àþ	0xfec0	0x4fd0
Á¡	0xa1c1	0x75e2
Á¢	0xa2c1	0x7acb
Á£	0xa3c1	0x7c92
Á¤	0xa4c1	0x6ca5
Á¥	0xa5c1	0x96b6
Á¦	0xa6c1	0x529b
Á§	0xa7c1	0x7483
Á¨	0xa8c1	0x54e9
Á©	0xa9c1	0x4fe9
Áª	0xaac1	0x8054
Á«	0xabc1	0x83b2
Á¬	0xacc1	0x8fde
Á­	0xadc1	0x9570
Á®	0xaec1	0x5ec9
Á¯	0xafc1	0x601c
Á°	0xb0c1	0x6d9f
Á±	0xb1c1	0x5e18
Á²	0xb2c1	0x655b
Á³	0xb3c1	0x8138
Á´	0xb4c1	0x94fe
Áµ	0xb5c1	0x604b
Á¶	0xb6c1	0x70bc
Á·	0xb7c1	0x7ec3
Á¸	0xb8c1	0x7cae
Á¹	0xb9c1	0x51c9
Áº	0xbac1	0x6881
Á»	0xbbc1	0x7cb1
Á¼	0xbcc1	0x826f
Á½	0xbdc1	0x4e24
Á¾	0xbec1	0x8f86
Á¿	0xbfc1	0x91cf
ÁÀ	0xc0c1	0x667e
ÁÁ	0xc1c1	0x4eae
ÁÂ	0xc2c1	0x8c05
ÁÃ	0xc3c1	0x64a9
ÁÄ	0xc4c1	0x804a
ÁÅ	0xc5c1	0x50da
ÁÆ	0xc6c1	0x7597
ÁÇ	0xc7c1	0x71ce
ÁÈ	0xc8c1	0x5be5
ÁÉ	0xc9c1	0x8fbd
